question,references
Who contributed to writing the paper on the experiments documented?,"[{""content"": ""ZB, ML, BLP, EDW, and JLD wrote the paper"", ""start_index"": 77296, ""end_index"": 77337}]"
What criterion was used to infer homologous genes in the study of E. coli proteins with distant species?,"[{""content"": ""For comparisons of E. coli proteins with those of the most distant species in our set, such as Vibrio, Xanthomonas, Xylella, and Pseudomonas, the separation of the two portions of the distribution occurs at about 30% of the maximal bit score"", ""start_index"": 208401, ""end_index"": 208642}, {""content"": ""Thus, in order to apply a stringent criterion for homology, we inferred as homologous genes those presenting a bit score value higher or equal to 30% of the maximal bit score"", ""start_index"": 208644, ""end_index"": 208818}, {""content"": ""A protein was included in a family if this criterion was satisfied for at least one member"", ""start_index"": 208820, ""end_index"": 208910}]"
"What effects do the gene products APC, GSK3β, axin, β-catenin, Dsh have in relation to oncogenic or tumour suppressing activities?","[{""content"": ""As shown in Table 4, by this criterion APC, GSK3\u03b2, and axin are potent tumor suppressors, whereas \u03b2-catenin is an oncogene"", ""start_index"": 455384, ""end_index"": 455506}, {""content"": ""Dsh would be expected to exert only moderate oncogenic effects"", ""start_index"": 455508, ""end_index"": 455570}]"
What are the effects observed in the Pdf01 mutant in the fourth day of constant darkness as compared to wild-type flies?,"[{""content"": ""Reduced cycling amplitude and a significant advanced phase were observed in the fourth day of DD"", ""start_index"": 145829, ""end_index"": 145925}, {""content"": ""a significant fraction of Pdf01 mutant flies is still weakly rhythmic after 4 d of DD (Renn et al. 1999)"", ""start_index"": 146014, ""end_index"": 146118}, {""content"": ""By tracking their locomotor activity phases, we observed that most of them had accumulated an approximately 4-hour phase advance relative to wild-type flies by the fourth day in DD"", ""start_index"": 146120, ""end_index"": 146300}]"
What is the function of the LNvs in Drosophila's circadian rhythms?,"[{""content"": ""A small cluster of neurons in adult Drosophila brain, the ventral lateral neurons (LNvs), is essential for self-sustained behavioral rhythms and has been proposed to be the primary pacemaker for locomotor activity rhythms"", ""start_index"": 130023, ""end_index"": 130244}]"
What new techniques have recent plant breeders employed to improve crop genetics?,"[{""content"": ""Plant breeding was once restricted to sexually compatible plants, and generations of offspring were selectively bred to create unique varieties"", ""start_index"": 347253, ""end_index"": 347396}, {""content"": ""With the goal of ever-widening the pool of genetic diversity, conventional plant breeding has gotten more technologically savvy in recent years"", ""start_index"": 347508, ""end_index"": 347651}, {""content"": ""For example, realizing that natural mutants often introduce valuable traits, scientists turned to chemicals and irradiation to speed the creation of mutants"", ""start_index"": 347653, ""end_index"": 347809}, {""content"": ""From test-tube plants derived from sexually incompatible crosses to the use of molecular genetic markers to identify interesting hereditary traits, the divide between engineering and genetics was narrowing long before kingdom boundaries were crossed"", ""start_index"": 347811, ""end_index"": 348060}]"
How does the turnover rate of axin influence β-catenin signaling according to simulations?,"[{""content"": ""Interestingly, an increase in the turnover rate of axin leads to higher amplitudes and shorter durations of the \u03b2-catenin signal"", ""start_index"": 426747, ""end_index"": 426875}, {""content"": ""Since the steady-state concentration of free axin remains unchanged (rate of axin synthesis equals the rate of its degradation) during the transition from W = 0 to W = 1, a fast axin turnover favors rapid replenishment of the axin pool after the decline of the Wnt stimulus and, in this way, fast recovery of the destruction complex"", ""start_index"": 427125, ""end_index"": 427457}, {""content"": ""Increasing the turnover rate of axin affects the response of axin to temporary Wnt stimulation in a similar way as the response of \u03b2-catenin; i.e., the signal is amplified and sharpened (Figure 6)"", ""start_index"": 427550, ""end_index"": 427746}]"
What does the stabilization of β-catenin involve according to the text?,"[{""content"": ""the stabilization of \u03b2-catenin, is initiated by binding of Wnt ligands to Frizzled receptors and the subsequent transition of Dsh from its inactive form (Dshi) to its active form (Dsha)"", ""start_index"": 392357, ""end_index"": 392542}, {""content"": ""Interaction of Dsha with the nonphosphorylated complex APC/axin/GSK3\u03b2 (step 3) activates the release of GSK3\u03b2 "", ""start_index"": 392634, ""end_index"": 392744}]"
What significant findings document the evolutionary background of Borneo elephants?,"[{""content"": ""researchers from the United States, India, and Malaysia, led by Don Melnick of the Center for Environmental Research and Conservation at Columbia, demonstrate that Borneo's elephants are not recent arrivals. They are genetically distinct from other Asian elephants and may have parted ways with their closest Asian cousins when Borneo separated from the mainland, effectively isolating the Borneo elephants some 300,000 years ago"", ""start_index"": 123319, ""end_index"": 123748}, {""content"": ""In the 1950s, Borneo elephants had been classified as a subspecies of Asian elephants (either Indian or Sumatran) based on anatomical differences, such as smaller skull size and tusk variations"", ""start_index"": 123751, ""end_index"": 123944}, {""content"": ""Their new status, as revealed by this study, has profound implications for the fate of Borneo's largest mammals"", ""start_index"": 124219, ""end_index"": 124330}]"
What are the implications of PDF signaling in Drosophila circadian rhythm according to the text?,"[{""content"": ""This is consistent with the notion that PDF acts as an important intercellular cell communication molecule within the Drosophila circadian system"", ""start_index"": 155607, ""end_index"": 155752}, {""content"": ""A very recent study of the Drosophila prothoracic gland (PG) clock and eclosion rhythms suggests that the LNvs also control the PG clock via PDF signaling"", ""start_index"": 156710, ""end_index"": 156864}, {""content"": ""This raises the possibility that PDF not only synchronizes brain clock neurons, but also keeps peripheral clocks in pace with the core brain network"", ""start_index"": 156886, ""end_index"": 157034}]"
What experimental methods were employed in the study to assess molecular oscillations in Drosophila brain clock cells under constant darkness?,"[{""content"": ""In order to identify these neurons, we assayed fly brains by tim in situ hybridization after 8 days in DD"", ""start_index"": 140480, ""end_index"": 140585}, {""content"": ""Wild-type flies were entrained for at least 3 days and then released into DD. tim RNA was assayed at trough (left panels) and peak (right panels) timepoints by whole-mount in situ hybridization"", ""start_index"": 141760, ""end_index"": 141953}]"
How do mutants with defective PH and CC domains influence insulin-dependent PLD activation?,"[{""content"": ""The dominant negative effects of E156K-ARNO were not unexpected, since this mutant contains the intact PH and the CC domains and is therefore likely to compete with endogenous ARNO"", ""start_index"": 252643, ""end_index"": 252823}, {""content"": ""The dominant negative effect of the PH and the CC domain deletion mutants on PLD activation was of particular interest"", ""start_index"": 252825, ""end_index"": 252943}, {""content"": ""These mutants were at best partially translocated to the membrane but blocked the ability of insulin to promote ARF and PLD activation"", ""start_index"": 252945, ""end_index"": 253079}]"
"What cellular processes did Kuntala Shome, Raúl Rojas, Megan Rizzo, Chandrasekaran Vasudevan, Eric Fluharty, Lorraine C Santy, James Casanova, and Hai-Sheng Li investigate?","[{""content"": ""Kuntala Shome carried out some in vitro ARF activation, ARNO translocation and PLD assays"", ""start_index"": 263880, ""end_index"": 263969}, {""content"": ""Ra\u00fal Rojas contributed with the initial studies of ARNO/ARF translocation"", ""start_index"": 263971, ""end_index"": 264044}, {""content"": ""Megan Rizzo and Chandrasekaran Vasudevan performed most of the color imaging studies"", ""start_index"": 264046, ""end_index"": 264130}, {""content"": ""Eric Fluharty, Lorraine C Santy and James Casanova made ARNO mutants"", ""start_index"": 264132, ""end_index"": 264200}, {""content"": ""Hai-Sheng Li made a CC-ARNO mutant; carried out imaging analysis; and participated in the ARNO/ARF translocation and PLD assays"", ""start_index"": 264202, ""end_index"": 264329}]"
What experimental results support the grouping of Buchnera and Wigglesworthia as sister-groups to enteric bacteria?,"[{""content"": ""In the best-supported topology (see Figure 5), Wigglesworthia and Buchnera are grouped and comprise the sister-group to the enteric bacteria Yersinia, Salmonella, and Escherichia"", ""start_index"": 192939, ""end_index"": 193117}, {""content"": ""The trees obtained (data not shown) were identical and gave strong support to the grouping of Buchnera and Wigglesworthia and to their position as the sister-group of enteric bacteria (Escherichia, Salmonella, and Yersinia)"", ""start_index"": 194309, ""end_index"": 194532}]"
What are the most prevalent genetically modified crops traits according to the text?,"[{""content"": ""To date, the two most prevalent GM crops traits are Btderived insect resistance and herbicide resistance"", ""start_index"": 350136, ""end_index"": 350240}]"
Which species exhibit the highest number of unique gene families?,"[{""content"": ""Pseudomonas aeruginosa yielded the highest number of unique genes, which represent nearly 41% of proteins of this genome"", ""start_index"": 183327, ""end_index"": 183447}, {""content"": ""In the families comprising only one species, Pseudomonas and Vibrio are heavily represented, with 2,397 and 1,474 families, respectively"", ""start_index"": 184815, ""end_index"": 184951}]"
What experimental findings indicate the factors influencing the activity of Jβ2.6 RSS?,"[{""content"": ""J\u03b22.6 is unique in that the sequence of its flanking RSS suggests no obvious explanation for its complete lack of activity (Figure 1)"", ""start_index"": 281888, ""end_index"": 282021}, {""content"": ""A systematic analysis of J\u03b22.6/consensus hybrid RSSs revealed that the nonamer, by itself, is the biggest determinant of J\u03b22.6 RSS activity and that the lack of J\u03b22.6 RSS function is due to the concerted action of nonconsensus nucleotides throughout the entire RSS, including the spacer"", ""start_index"": 282210, ""end_index"": 282496}, {""content"": ""Surprisingly, we found that in combination with other consensus elements, an artificial consensus spacer can markedly boost recombination activity, while an anticonsensus spacer strongly impairs activity"", ""start_index"": 282498, ""end_index"": 282701}]"
What findings indicate the inability of the cyc01 rescue to restore behavioral rhythms in flies?,"[{""content"": ""Behavioral rhythms are also absent in the cyc01 homozygous mutant strain (Rutila et al. 1998)"", ""start_index"": 136070, ""end_index"": 136163}, {""content"": ""The transgenic flies were completely arrhythmic in DD. They were also arrhythmic under LD conditions, as the flies failed to anticipate the discontinuous transitions from light to dark or from dark to light (see Figure 1C, left panel; Rutila et al. 1998)"", ""start_index"": 139240, ""end_index"": 139494}]"
What aspect of robustness is measured using control coefficients in signaling processes?,"[{""content"": ""Robustness has also been considered an important design principle for signaling processes (Alon et al. 1999), and control coefficients can be a good measure of this robustness"", ""start_index"": 459537, ""end_index"": 459712}]"
What are the identified components of the DNA replication machinery in P. falciparum during the late-trophozoite and early-schizont stage?,"[{""content"": ""Thirty-two ORFs with homologies to various eukaryotic DNA replication machinery components are transcribed during the late-trophozoite and early-schizont stage"", ""start_index"": 25514, ""end_index"": 25673}, {""content"": ""This functional gene group (Figure 2G), with peak expression around 32 hpi, contains the previously characterized P. falciparum DNA Pol\u03b1, DNA Pol\u03b4, and proliferating cell nuclear antigen, as well as the vast majority of the DNA replication components predicted by the malaria genome sequencing consortium (Gardner et al. 2002)"", ""start_index"": 25733, ""end_index"": 26059}, {""content"": ""These additional components include eight predicted DNA polymerase subunits, two putative origin recognition complex subunits, six minichromosome maintenance proteins, seven endo- and exonucleases, seven replication factor subunits, and two topoiosomerases"", ""start_index"": 26061, ""end_index"": 26317}]"
How does the Guanine Nucleotide Exchange Factor ARNO affect the activation of ARF and phospholipase D?,"[{""content"": ""The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin"", ""start_index"": 232182, ""end_index"": 232287}, {""content"": ""Wild type ARNO transiently transfected in HIRcB cells was translocated to the plasma membrane in an insulin-dependent manner and promoted the translocation of ARF to the membranes"", ""start_index"": 234956, ""end_index"": 235135}]"
"What approach did Nancy Moran, Emmanuelle Lerat, and Vincent Daubin propose to identify genes reflecting bacterial evolutionary history?","[{""content"": ""In this issue, Nancy Moran, Emmanuelle Lerat, and Vincent Daubin propose an approach that solves this problem by identifying a set of genes that serve as reliable indicators of the vertical transfer of bacterial cell lineages"", ""start_index"": 229844, ""end_index"": 230069}]"
What studies discuss the genomic characteristics or evolutionary history related to horizontal gene transfer or ribosomal proteins?,"[{""content"": ""Brochier C  Philippe H  Moreira D   The evolutionary history of ribosomal protein RpS14: Horizontal gene transfer at the heart of the ribosome Trends Genet 2000 16 529 533 11102698 "", ""start_index"": 214883, ""end_index"": 215064}, {""content"": ""Brown JR   Ancient horizontal gene transfer Nat Rev Genet 2003 4 121 132 12560809 "", ""start_index"": 215212, ""end_index"": 215294}, {""content"": ""Jain R  Rivera MC  Lake JA   Horizontal gene transfer among genomes: The complexity hypothesis Proc Natl Acad Sci U S A 1999 96 3801 3806 10097118 "", ""start_index"": 217534, ""end_index"": 217681}]"
How does the inclusion of different spacer sequences affect DNA cleavage efficiency in the coupled cleavage experiments?,"[{""content"": ""Interestingly, a favorable spacer sequence (Sk or Sc), when paired with H or N, boosts cleavage over the J\u03b22.6 RSS spacer (Figure 4A, lanes 12, 14, 16, and 18)"", ""start_index"": 294912, ""end_index"": 295071}, {""content"": ""The levels of cleavage for H\u2013Sk or H\u2013Sc are reproducibly higher than those for Sk\u2013N or Sc\u2013N; although the effect is less striking than for SJ formation, the limits of detection in the coupled cleavage assay dictate that this assay spans a much narrower range of activities than the SJ formation assay"", ""start_index"": 295073, ""end_index"": 295373}, {""content"": ""In conjunction with either consensus heptamer (H\u2013Sac) or consensus nonamer (Sac\u2013N), the anticonsensus spacer reduces cleavage 5- to 10-fold compared to the consensus spacer (H\u2013Sc or Sc\u2013N) (Figure 4C and 4D) and 3-fold compared to the J\u03b22.6 RSS spacer (H or N) (Figure 4B; compare lanes 4 and 8 to lanes 6 and 10, respectively)"", ""start_index"": 295578, ""end_index"": 295904}]"
How does the APC concentration affect axin and β-catenin degradation according to the study?,"[{""content"": ""With APC-mediated axin degradation, \u03b2-catenin degradation is affected very little by changes in the concentration of APC (25% decrease with a 2-fold increase in APC concentration)"", ""start_index"": 421448, ""end_index"": 421627}, {""content"": ""Decreasing the concentration of APC inhibits the degradation of axin, thereby promoting the formation of the degradation complex"", ""start_index"": 421792, ""end_index"": 421920}, {""content"": ""As shown in Figure 5, in the absence of the regulatory loop, axin degradation is APC independent, homeostasis is lost, and \u03b2-catenin levels are greatly upregulated with decreasing APC concentrations"", ""start_index"": 421922, ""end_index"": 422120}]"
What percentage of ORFs showed changes in transcript abundance during the P. falciparum IDC?,"[{""content"": ""In our global analysis of the P. falciparum transcriptome, over 80% of the ORFs revealed changes in transcript abundance during the maturation of the parasite within RBCs"", ""start_index"": 55482, ""end_index"": 55652}]"
Which genes were identified as likely involved in merozoite invasion based on expression profile similarities?,"[{""content"": ""We utilized the IDC transcriptome to predict a set of likely invasion proteins by identifying expression profiles with characteristics similar to previously studied merozoite invasion proteins"", ""start_index"": 52021, ""end_index"": 52213}, {""content"": ""Among these proteins are seven of the best-known malaria vaccine candidates, including AMA1, MSP1, MSP3, MSP5, EBA175, RAP1, and RESA1"", ""start_index"": 52405, ""end_index"": 52539}, {""content"": ""In addition to the seven vaccine candidate genes used for the search, essentially all predicted P. falciparum merozoite-associated antigens were identified in this gene set"", ""start_index"": 53022, ""end_index"": 53194}, {""content"": ""These include the GPI-anchored MSP4; several integral merozoite membrane proteins, such as EBA140 and EBL1; three RBPs (RBP1, RBP2a, RBP2b); and a previously unknown RBP homologue"", ""start_index"": 53207, ""end_index"": 53386}, {""content"": ""In addition, components of two proteins secreted from the rhoptries to the host cell membranes, RhopH1 and RhopH3, or to the PVs RAP1, RAP2, and RAP3 were found in the selected set"", ""start_index"": 53388, ""end_index"": 53568}]"
What key findings were revealed by the comparative genomic hybridization analysis between P. falciparum strains HB3 and 3D7?,"[{""content"": ""To identify regions of genomic variability between 3D7 and HB3, we performed microarray-based comparative genomic hybridization (CGH) analysis"", ""start_index"": 41209, ""end_index"": 41351}, {""content"": ""CGH analysis revealed that the majority of genetic variation between HB3 and 3D7 is confined to the subtelomeric chromosomal regions containing the aforementioned gene families (Figure 3A; Figure S3)"", ""start_index"": 41600, ""end_index"": 41799}, {""content"": ""Only 28.3% of rifin, 47.1% of var, and 51.0% of stevor genes predicted for the 3D7 strain were detected for the HB3 genomic DNA (gDNA) when hybridized to the 3D7-based microarray"", ""start_index"": 41801, ""end_index"": 41979}]"
What types of interactions within the RAG-RSS complex are described?,"[{""content"": ""Based on our in vivo, in vitro, and in silico analyses, we propose that the RAG\u2013RSS complex contains two distinct types of protein\u2013DNA interactions: \u201cdigital\u201d (or binary) interactions of a strictly sequence-specific nature, and \u201canalog\u201d (or multiplicative) contacts that fine-tune the strength of the digital contacts (Travers 1993)"", ""start_index"": 320164, ""end_index"": 320496}, {""content"": ""Digital interactions are established with those nucleotides for which proper sequence is absolutely critical for activity (e.g., the first three nucleotides of the heptamer and positions 5 and 6 of the nonamer)"", ""start_index"": 320498, ""end_index"": 320708}, {""content"": ""Analog interactions describe local structural variations brought about by different sequences along the rest of the RSS"", ""start_index"": 320710, ""end_index"": 320829}]"
What is the intended benefit of engineering Bt genes into corn?,"[{""content"": ""Engineering the gene into corn, however, caused an unexpected public backlash"", ""start_index"": 348779, ""end_index"": 348856}]"
What are the characteristics of transcriptional regulation in P. falciparum as opposed to other parasites like Leishmania sp.?,"[{""content"": ""Transcriptional regulation of chromosomal gene expression in P. falciparum is thought to be monocistronic, with transcriptional control of gene expression occurring through regulatory sequence elements upstream and downstream of the coding sequence (Horrocks et al. 1998)"", ""start_index"": 37623, ""end_index"": 37894}, {""content"": ""This is in contrast to several other parasites, such as Leishmania sp., in which polycistronic mRNA is synthesized from large arrays of coding sequences positioned unidirectionally along the arms of relatively short chromosomes (Myler et al. 2001)"", ""start_index"": 37896, ""end_index"": 38143}]"
What is the role of CYC in the molecular machinery of LNvs as observed under light-dark conditions?,"[{""content"": ""The fact that other clock neurons were still tim mRNA-negative (Figure 1A and B) suggests that CYC and the rest of the molecular machinery can function cell autonomously, at least in the LNvs under these light\u2013dark (LD) conditions"", ""start_index"": 138796, ""end_index"": 139026}]"
What are the challenges faced by the development of golden rice?,"[{""content"": ""Intellectual property issues and opposition from anti-GM activists have confounded the development for years"", ""start_index"": 362314, ""end_index"": 362422}, {""content"": ""Faced with patent issues and regulatory hurdles and costs, developer and academic researcher Ingo Potrykus formed an alliance with Syngenta (then AstraZeneca Corporation) to allow the free licensing of the patents to public research institutions for humanitarian use"", ""start_index"": 362424, ""end_index"": 362690}]"
What are the proposed reasons for the observed stability of the major phylogenetic groups in bacteria according to the text?,"[{""content"": ""Our findings favor the view that the cohesion of major phylogenetic groups within the Bacteria is due to vertical transmission and common ancestry rather than to preferential lateral transfer of genes"", ""start_index"": 201692, ""end_index"": 201892}]"
What are the main steps involved in reducing the number of dynamic variables in the referenced kinetic model?,"[{""content"": ""The conservation equations and the binding equilibria reduce the number of independent dynamic variables"", ""start_index"": 395262, ""end_index"": 395366}, {""content"": ""Accordingly, the original set of 15 differential equations is transformed into a set of only seven ordinary differential equations coupled to four conservation equations and four relationships for binding equilibria"", ""start_index"": 395368, ""end_index"": 395583}]"
What are the stages in the Plasmodium falciparum lifecycle outlined in the text?,"[{""content"": ""The complete P. falciparum lifecycle encompasses three major developmental stages: the mosquito, liver, and blood stages"", ""start_index"": 5397, ""end_index"": 5517}]"
How was data normalized during the DNA microarray hybridizations described?,"[{""content"": ""Array data were stored and normalized using the NOMAD microarray database system (http://ucsf-nomad.sourceforge.net/). In brief, a scalar normalization factor was calculated for each array using unflagged features with median intensities greater than zero for each channel and a pixel regression correlation coefficient greater than or equal to 0.75"", ""start_index"": 64512, ""end_index"": 64861}]"
What methods were employed for mtDNA phylogenetic analysis in the discussed study?,"[{""content"": ""Sequences were aligned and edited using SEQUENCHER version 3.1.1 (GeneCodes Corporation, Ann Arbor, Michigan, United States)"", ""start_index"": 110185, ""end_index"": 110309}, {""content"": ""Phylogenetic analyses were conducted using PAUP* version 4.0 (Swofford 1998)"", ""start_index"": 110402, ""end_index"": 110478}, {""content"": ""Maximum-parsimony analysis was conducted using a heuristic search with random stepwise addition of taxa, tree bisection/reconnection branch swapping, and equal weighting; neighbour joining, with Kimura two-parameter distances; and maximum likelihood, using empirical base frequencies and estimated values for the shape parameter for among-site rate variation and transition/transversion ratios"", ""start_index"": 110680, ""end_index"": 111073}]"
What is the main goal of Public Library of Science (PLoS)?,"[{""content"": ""The Public Library of Science (PLoS) is at the vanguard of a growing cross-disciplinary movement to counteract this trend by demonstrating that voluntary models of open publishing are not only viable, but crucial to scientific innovation"", ""start_index"": 371587, ""end_index"": 371824}]"
What challenges are associated with using complete genomes to obtain a robust phylogeny for all bacteria?,"[{""content"": ""First, using complete genomes to obtain a robust phylogeny for all bacteria has presented problems due to the age of the group and the resulting loss of phylogenetic signal"", ""start_index"": 176802, ""end_index"": 176974}, {""content"": ""Furthermore, lateral gene transfer (LGT) occurs in bacteria and has been claimed to be rampant for all classes of genes, potentially resulting in a diversity of phylogenetic histories across genes and complicating, or completely defeating, attempts to reconstruct bacterial evolution at both deep and more recent evolutionary depths"", ""start_index"": 176976, ""end_index"": 177308}]"
What are some potential drug targets discussed in the text related to apicomplexan plastids?,"[{""content"": ""McFadden GI  Roos DS   Apicomplexan plastids as drug targets Trends Microbiol 1999 7 328 333 10431206"", ""start_index"": 84682, ""end_index"": 84783}]"
What are the stages and results of the trials for antigens in clinical trials as described?,"[{""content"": ""A number of antigens are presently in various stages of clinical trials and are yielding encouraging results (Good et al. 1998)"", ""start_index"": 54301, ""end_index"": 54428}]"
How many gene families out of the total evaluated were found likely to represent orthologs?,"[{""content"": ""A total of 275 families are represented in all 13 species. Among these, 205 contain exactly one gene per species. We consider these 205 genes to represent likely orthologs and, consequently, to be good candidates for use in inferring the organismal phylogeny and the extent of LGT"", ""start_index"": 185139, ""end_index"": 185419}]"
What are the conditions under which HeLa cells were cultured?,"[{""content"": ""HeLa cells were cultured in DMEM supplemented with 10% fetal bovine serum and antibiotics"", ""start_index"": 256432, ""end_index"": 256521}]"
What are the reported experimental variations in RNAi phenotype detection within the same laboratory?,"[{""content"": ""It is possible that different laboratories or investigators have slightly different results. However, when we compare the results that we obtained with two independent screens of Chromosome I using rrf-3 in our laboratory, we also see differences. For 394 clones we detected a phenotype in both experiments, 54 are specific for the first experiment, and 34 for the second (Figure 1D)"", ""start_index"": 482499, ""end_index"": 482882}, {""content"": ""These data show that large-scale RNAi screens done within the same laboratory and by the same investigators also give variable results. A few examples of variable RNAi results are shown in Table 1"", ""start_index"": 483085, ""end_index"": 483281}]"
What are the findings regarding the correlation of gene expression along the plastid DNA element in P. falciparum?,"[{""content"": ""Contrary to the nuclear chromosomes, there was a high correlation of gene expression along the plastid DNA element, consistent with polycistronic transcription (see Figure 3C)"", ""start_index"": 39526, ""end_index"": 39701}, {""content"": ""The average pairwise Pearson correlation for a sliding window of seven ORFs along the plastid genome is 0.92\u00b10.03"", ""start_index"": 39703, ""end_index"": 39816}]"
"What does the study by Levine J, Funes P, Dowse H, Hall J in 2002a primarily focus on?","[{""content"": ""Levine J  Funes P  Dowse H  Hall J   Advanced analysis of a cryptochrome mutation's effects on the robustness and phase of molecular cycles in isolated peripheral tissues of Drosophila "", ""start_index"": 169146, ""end_index"": 169331}]"
What are the two types of recombinant junctions formed during the joining phase of V(D)J recombination?,"[{""content"": ""In the joining phase, ubiquitous DNA repair factors involved in nonhomologous end joining, in the presence of the RAG proteins, ligate the cleaved ends, generating two types of recombinant junctions: precise signal joints (SJs) and imprecise coding joints (CJs) (Bassing et al. 2002)"", ""start_index"": 277347, ""end_index"": 277630}]"
What are the sources of funding for the research presented in the text?,"[{""content"": ""This work was supported by the Burroughs-Wellcome Fund, the Kinship Foundation, a Sandler Opportunity Grant, and National Institute of Allergy and Infectious Diseases grant AI53862"", ""start_index"": 76796, ""end_index"": 76976}]"
What methods were applied to assess rhythmicity in the study?,"[{""content"": ""d spectral analysis were used to assess rhythmicity and to estimate the period. The phase information was extracted using circular statistics (Levine et al. 2002b)"", ""start_index"": 160602, ""end_index"": 160765}]"
What conservation recommendations are suggested for Borneo elephants based on their genetic studies?,"[{""content"": ""Thus, they should not be cross-bred with other Asian elephants in ex situ management"", ""start_index"": 107212, ""end_index"": 107296}, {""content"": ""We recommend research on reproductive rates, juvenile survival, and other indicators of detrimental effects of inbreeding such as sperm deformities, sperm mobility, and genetic diversity at MHC loci"", ""start_index"": 108120, ""end_index"": 108318}, {""content"": ""While increasing genetic diversity by introducing a small number of elephants from other populations (Whitehouse and Harley 2001) may have to be considered if deleterious inbreeding effects are evident, in the absence of such findings Borneo's elephants should be managed separately from other Asian elephants"", ""start_index"": 108320, ""end_index"": 108629}]"
