question,references
What role did Ramsey Crowe play in the rehabilitation of the Nameless in Valkyria Chronicles III?,"[{""content"": ""This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of <unk> in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason "", ""start_index"": 7165, ""end_index"": 7461}]"
What feedback did Ryan Geddes of IGN provide on the TGS demo of the game?,"[{""content"": ""In a preview of the TGS demo , Ryan Geddes of IGN was left excited as to where the game would go after completing the demo , along with enjoying the improved visuals over Valkyria Chronicles II "", ""start_index"": 17040, ""end_index"": 17234}]"
What led to the move of Kurt's squad into an independent position at the end of Valkyria Chronicles III?,"[{""content"": ""Partly due to these events , and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire , the Nameless are offered a formal position as a squad in the Gallian Army rather than serve as an anonymous shadow force "", ""start_index"": 7465, ""end_index"": 7722}, {""content"": ""As an armed Gallian force invading the Empire just following the two nations ' cease @-@ fire would certainly wreck their newfound peace , Kurt decides to once again make his squad the Nameless , asking Crowe to list himself and all under his command as killed @-@ in @-@ action "", ""start_index"": 8081, ""end_index"": 8360}]"
What specific actions were attributed to Rick Nash regarding his potential trade from Columbus?,"[{""content"": ""While Howson stated that he had never brought up trading Nash in discussions , other teams had inquired about his availability "", ""start_index"": 76499, ""end_index"": 76626}, {""content"": ""Nash stated that if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause"", ""start_index"": 76628, ""end_index"": 76754}]"
What are the primary themes of the song 'There's Got to Be a Way' as described in the text?,"[{""content"": "" \"" There 's Got to Be a Way \"" is an R & B @-@ pop music song with elements of gospel "", ""start_index"": 100350, ""end_index"": 100435}, {""content"": ""The theme of social activism can be heard in the lyrics \"" There \u2019 s got to be a way / to connect this world today "", ""start_index"": 100437, ""end_index"": 100551}, {""content"": ""Carey suggests we should be more tolerant of each other and not resort so readily to war in the lyrics \"" Couldn 't we accept each other / Can 't we make ourselves aware "", ""start_index"": 100742, ""end_index"": 100911}]"
What buildings were constructed in the park where the Tower Building is located?,"[{""content"": ""In 1917 , Little Rock built a fire station in the park , that building is now gone "", ""start_index"": 40399, ""end_index"": 40482}, {""content"": ""In 1936 , Works Progress Administration built the Museum of Fine Arts , now called the Arkansas Arts Center , just south of the Tower Building "", ""start_index"": 40594, ""end_index"": 40737}]"
What was the primary focus of Cicely Mary Barker's fairy illustrations?,"[{""content"": "" Cicely Mary Barker ( 28 June 1895 \u2013 16 February 1973 ) was an English illustrator best known for a series of fantasy illustrations depicting fairies and flowers "", ""start_index"": 42287, ""end_index"": 42449}]"
What were the initial and revised budgets for the construction of the Little Rock Arsenal?,"[{""content"": ""Originally $ 14 @,@ 000 was allocated for the construction of the arsenal , but proved inadequate "", ""start_index"": 22463, ""end_index"": 22561}, {""content"": ""The budget was later increased to $ 30 @,@ 000 "", ""start_index"": 22563, ""end_index"": 22610}]"
What is Cicely Mary Barker best known for?,"[{""content"": "" Cicely Mary Barker ( 28 June 1895 \u2013 16 February 1973 ) was an English illustrator best known for a series of fantasy illustrations depicting fairies and flowers "", ""start_index"": 42287, ""end_index"": 42449}]"
What factors contributed to the Near Threatened status of the plain maskray?,"[{""content"": ""The main conservation threat to the plain maskray is incidental capture by commercial bottom trawl fisheries"", ""start_index"": 68196, ""end_index"": 68304}, {""content"": ""Although this species is discarded when caught , it is more delicate @-@ bodied than other maskrays and is thus unlikely to survive encounters with trawling gear "", ""start_index"": 68429, ""end_index"": 68591}, {""content"": ""Historically , this species may also have been negatively affected by Japanese , Chinese , and Taiwanese trawlers that fished intensively off northern Australia from 1959 to 1990 "", ""start_index"": 68593, ""end_index"": 68772}, {""content"": ""These factors , coupled with the plain maskray 's limited distribution and low reproductive rate , have resulted in its being assessed as Near Threatened by the International Union for Conservation of Nature ( IUCN ) "", ""start_index"": 68774, ""end_index"": 68991}]"
What were the major changes in team structure for the Blue Jackets during the off-season?,"[{""content"": "" In the off @-@ season the Blue Jackets ' approach to building their team changed , moving from a team of young developing players into one with established players "", ""start_index"": 70665, ""end_index"": 70830}, {""content"": ""The first deal General Manager Scott Howson made was the acquisition of All @-@ Star forward Jeff Carter on June 23 , 2011 "", ""start_index"": 70832, ""end_index"": 70955}, {""content"": ""Next , they traded for the negotiating rights of soon to be free agent James Wisniewski "", ""start_index"": 71324, ""end_index"": 71412}, {""content"": ""Columbus also traded former first round draft pick Nikita Filatov to the Ottawa Senators for a third @-@ round pick in the 2011 Draft"", ""start_index"": 71807, ""end_index"": 71940}]"
Who were the officers under Lt. Col. Dunnington's command at Little Rock during August 1862?,"[{""content"": ""The military force at Little Rock under Dunnington 's command consisted of four officers : himself , Major John B. Lockman , Captain C.C. Green , and 2nd Lt. W.W. Murphy"", ""start_index"": 34127, ""end_index"": 34296}]"
What was the purpose of building the Gregorian Tower?,"[{""content"": ""The tower was built between 1578 and 1580 to a design by the Bolognese architect Ottaviano Mascherino ( who was credited with building the Apostolic Palace ) mainly to promote the study of astronomy for the Gregorian Calendar Reform which was commissioned by Pope Gregory XIII and promulgated in 1582 "", ""start_index"": 89898, ""end_index"": 90199}]"
"What abilities do the characters Kurt, Imca, and Riela possess in the game?","[{""content"": ""Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate \"" Direct Command \"" and move around the battlefield without depleting his Action Point gauge , the character <unk> can shift into her \"" Valkyria Form \"" and become invincible , while Imca can target multiple enemy units with her heavy weapon "", ""start_index"": 4329, ""end_index"": 4680}]"
How did the Blue Jackets perform in penalty kill situations during the season?,"[{""content"": ""The Blue Jackets struggled in shorthanded situations , allowing the most power @-@ play goals in the League , with 64 , and having the lowest penalty @-@ kill percentage , at 76 @"", ""start_index"": 84275, ""end_index"": 84454}]"
Who were the experts involved in the construction and equipment setup of the Gregorian Tower?,"[{""content"": ""The design was effected after a series of meetings of the experts who had been appointed to reform the Julian calendar , in use since 45 BC , to verify their proposed reforms "", ""start_index"": 90931, ""end_index"": 91106}, {""content"": ""Christoph Clavius , a Jesuit mathematician from the Roman College , was the expert on the committee who suggested the new system for the observations "", ""start_index"": 91113, ""end_index"": 91263}]"
What are the critical reception details for Mariah Carey's song 'There's Got to Be a Way'?,"[{""content"": ""The track garnered a mixed reception upon the album 's release in 1990"", ""start_index"": 98819, ""end_index"": 98889}, {""content"": ""While Carey 's vocals were praised , it was seen as too political"", ""start_index"": 98892, ""end_index"": 98957}, {""content"": "" Music critic Robert Christgau felt that Carey was being too political in her \"" brave , young , idealistic attack \"" on war and destitution "", ""start_index"": 100945, ""end_index"": 101084}]"
What influence did Cicely Mary Barker's early environment have on her art?,"[{""content"": ""She spent much time in bed at home amusing herself with painting books and a nursery library that included the works of Kate Greenaway and Randolph Caldecott \u2013 two artists who exerted strong influences on her later art "", ""start_index"": 44345, ""end_index"": 44564}]"
What were the early influences on Barker's art during her childhood?,"[{""content"": ""She spent much time in bed at home amusing herself with painting books and a nursery library that included the works of Kate Greenaway and Randolph Caldecott \u2013 two artists who exerted strong influences on her later art "", ""start_index"": 44345, ""end_index"": 44564}]"
What operations were initiated at the Little Rock Arsenal by the Arkansas Military Board?,"[{""content"": ""Thus there were no substantial operations for ordnance fabrication or repairs , nor for the manufacture of cartridges at the time the Arsenal fell into State hands "", ""start_index"": 28124, ""end_index"": 28288}, {""content"": ""Most of these operations were started from scratch through the efforts of the Arkansas Military Board"", ""start_index"": 28290, ""end_index"": 28391}]"
What was the nature of the social issues addressed in the song 'There's Got to Be a Way' by Mariah Carey?,"[{""content"": "" Music critic Robert Christgau felt that Carey was being too political in her \"" brave , young , idealistic attack \"" on war and destitution "", ""start_index"": 100945, ""end_index"": 101084}, {""content"": ""He noted that \"" There 's Got to Be a Way \"" follows the same melodic tone as the album 's opener \"" Vision of Love \"" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love "", ""start_index"": 101527, ""end_index"": 101760}]"
What is the maximum lifespan of male and female plain maskrays?,"[{""content"": ""The maximum lifespan is estimated to be 9 years for males and 13 years for females"", ""start_index"": 68080, ""end_index"": 68162}]"
What led to the firing of Head Coach Scott Arniel during the 2011-12 Columbus Blue Jackets season?,"[{""content"": ""After an 11 \u2013 25 \u2013 5 start , Head Coach Scott Arniel was fired and replaced by Assistant Coach Todd Richards "", ""start_index"": 69715, ""end_index"": 69824}]"
What were the significant events related to Jeff Carter during the 2010-11 NHL season?,"[{""content"": "" After the first five games , all losses , Jeff Carter suffered a broken foot that kept him out of the line @-@ up for 10 games "", ""start_index"": 73001, ""end_index"": 73129}, {""content"": ""While Carter was injured , the Blue Jackets continued to lose games "", ""start_index"": 73131, ""end_index"": 73199}]"
What was the final point total for the Columbus Blue Jackets in the described season?,"[{""content"": ""The two victories gave Columbus 65 points for the year , their third @-@ lowest total in franchise history "", ""start_index"": 84164, ""end_index"": 84271}]"
What inspired the anime title for Valkyria Chronicles III?,"[{""content"": ""The anime 's title was inspired by the principle purpose of the Nameless : to suffer in battle for the goals of others "", ""start_index"": 18981, ""end_index"": 19100}]"
What are the dietary preferences of the plain maskray?,"[{""content"": ""Its diet consists predominantly of caridean shrimp and polychaete worms"", ""start_index"": 67255, ""end_index"": 67326}, {""content"": ""Small bony fishes are also eaten , along with the occasional penaeid prawn or amphipod "", ""start_index"": 67329, ""end_index"": 67416}, {""content"": ""Larger rays consume a greater variety of prey and relatively more polychaete worms when compared to smaller rays"", ""start_index"": 67418, ""end_index"": 67530}]"
What are the book titles published by Blackie?,"[{""content"": "" Flower Fairies of the Winter ; Blackie , 1985 "", ""start_index"": 56897, ""end_index"": 56944}, {""content"": "" Simon the Swan ; Blackie , 1988 "", ""start_index"": 56945, ""end_index"": 56978}, {""content"": "" Flower Fairies of the Seasons ; <unk> / Blackie , 1988 "", ""start_index"": 56979, ""end_index"": 57035}, {""content"": "" 43 Annuals ; Blackie , 1920s , 1930s "", ""start_index"": 57476, ""end_index"": 57514}]"
What are the different remixes of 'There's Got to Be a Way' listed?,"[{""content"": "" \"" There 's Got to Be a Way \"" ( 7 \"" remix ) "", ""start_index"": 102905, ""end_index"": 102949}, {""content"": "" \"" There 's Got to Be a Way \"" ( 12 \"" remix ) "", ""start_index"": 102950, ""end_index"": 102995}, {""content"": "" \"" There 's Got to Be a Way \"" ( Alternative Vocal Dub Mix ) "", ""start_index"": 102996, ""end_index"": 103056}]"
What are the challenges faced in the development of women's football in Gambia?,"[{""content"": ""The development of a national team faces challenges similar to those across Africa , although the national football association has four staff members focusing on women 's football "", ""start_index"": 58944, ""end_index"": 59125}, {""content"": "" The development of women 's football in Africa faces several challenges , including limited access to education , poverty amongst women , inequalities and human rights abuses targeting women "", ""start_index"": 60950, ""end_index"": 61142}, {""content"": ""Another challenge is the retention of football players"", ""start_index"": 61289, ""end_index"": 61343}]"
What decorations are featured in the interior of the Meridian Hall?,"[{""content"": ""The interior walls and ceiling of the hall were richly decorated , in some cases with gaudy frescoes of the hills and Roman countryside , the <unk> , religious themes , the buildings surrounding the area , and naval shipwrecks with Jesus calming the storm and so forth "", ""start_index"": 97891, ""end_index"": 98160}]"
What did Mary Violet Clayton Calthrop write about Barker's Flower Fairies of the Spring in 1925?,"[{""content"": ""Mary Violet Clayton Calthrop , wife of author Dion Clayton Calthrop , wrote in April 1925 about Barker and Flower Fairies of the Spring : \"" She has such exquisite taste , besides draughtsmanship "", ""start_index"": 46463, ""end_index"": 46658}]"
What was the contribution of Sakimoto to the anime adaptation of Valkyria Chronicles III?,"[{""content"": ""Sakimoto 's music for the game was used in the anime "", ""start_index"": 18924, ""end_index"": 18977}]"
What instruments were procured for the revival of the observatory on the Gregorian Tower?,"[{""content"": ""High quality instruments were procured , partly with generous donations from Hicks of London , and the automatic recording instruments were procured from Richard in Paris "", ""start_index"": 93759, ""end_index"": 93930}, {""content"": ""A four @-@ inch equatorial , a three @-@ inch transit instrument , and four pendulum clocks with two chronometers , were also procured from the observatory at Modena "", ""start_index"": 93932, ""end_index"": 94098}]"
What were the main characteristics of the armor used on the ship Atlanta?,"[{""content"": ""Her armor was backed by 3 inches ( 76 mm ) of oak , vertically oriented , and two layers of 7 @.@ 5 inches ( 191 mm ) of pine , alternating in direction "", ""start_index"": 111137, ""end_index"": 111290}, {""content"": ""The upper portion of Atlanta 's hull received two inches of armor "", ""start_index"": 111517, ""end_index"": 111583}]"
What are the published works of the Gambia women's national football team?,"[{""content"": "" The Gambia women 's national football team represents the Gambia in international football competition "", ""start_index"": 58422, ""end_index"": 58526}, {""content"": ""The team , however , has not competed in a match recognised by FIFA , the sport 's international governing body , despite that organised women 's football has been played in the country since 1998 "", ""start_index"": 58528, ""end_index"": 58725}, {""content"": ""The Gambia has two youth teams , an under @-@ 17 side that has competed in FIFA U @-@ 17 Women 's World Cup qualifiers , and an under @-@ 19 side that withdrew from regional qualifiers for an under @-@ 19 World Cup "", ""start_index"": 58727, ""end_index"": 58942}]"
What educational path did Cicely Mary Barker take in her early years?,"[{""content"": ""Barker 's art education began in girlhood with correspondence courses and instruction at the Croydon School of Art "", ""start_index"": 42451, ""end_index"": 42566}, {""content"": ""In 1908 at 13 years , she entered an evening class at the Croydon School of Art , and attended the school into the 1940s "", ""start_index"": 44696, ""end_index"": 44817}]"
What is the purpose of the sundial in the Meridian Room?,"[{""content"": ""The sundial consisted of a straight line in white marble running across the floor in a north @-@ south direction , intended to measure the height of the Sun at noon according to the seasons of the year "", ""start_index"": 97187, ""end_index"": 97389}, {""content"": ""The observations made with the sundial provided essential confirmation of the need to reform the Julian calendar"", ""start_index"": 97391, ""end_index"": 97503}]"
What actions did the NHL take to investigate the clock pause?,"[{""content"": ""To determine the true cause of the clock pause , the NHL launched an investigation , talking with the clock 's manufacturer and interviewing Staples Center staff "", ""start_index"": 80352, ""end_index"": 80514}]"
What were the significant events in the operational history of the USS Atlanta during the American Civil War?,"[{""content"": ""Atlanta was a casemate ironclad that served in the Confederate and Union Navies during the American Civil War"", ""start_index"": 106080, ""end_index"": 106189}, {""content"": ""After several failed attempts to attack Union blockaders , the ship was captured by two Union monitors in 1863 when she ran aground "", ""start_index"": 106331, ""end_index"": 106463}, {""content"": ""Atlanta was floated off , repaired , and rearmed , serving in the Union Navy for the rest of the war "", ""start_index"": 106465, ""end_index"": 106566}, {""content"": ""She spent most of her time deployed on the James River supporting Union forces there"", ""start_index"": 106568, ""end_index"": 106652}]"
What are the names of the main female protagonists in the two manga adaptations of Valkyria Chronicles III?,"[{""content"": ""Two manga adaptations were produced , following each of the game 's main female protagonists Imca and Riela "", ""start_index"": 20159, ""end_index"": 20267}]"
What steps did John P. McConnell mention in a letter around the trade deadline and the Entry Draft?,"[{""content"": ""He added that action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction "", ""start_index"": 78010, ""end_index"": 78142}]"
What were the outcomes of the 2012 NHL Entry Draft lottery for the Columbus Blue Jackets?,"[{""content"": ""Consequently , they had the best chance to receive the first overall selection in the 2012 NHL Entry Draft lottery , but lost out to the Edmonton Oilers and received the second pick instead "", ""start_index"": 69390, ""end_index"": 69580}]"
What were the consequences for the Columbus Blue Jackets after losing to the Edmonton Oilers 6-3?,"[{""content"": ""They immediately matched their four @-@ game win streak with a four @-@ game losing streak and with ten games remaining , the Blue Jackets were the first team eliminated from playoff contention "", ""start_index"": 82977, ""end_index"": 83171}, {""content"": ""Shortly after being eliminated , they were defeated by the Edmonton Oilers 6 \u2013 3 ; the loss clinched last place in the NHL for Columbus "", ""start_index"": 83173, ""end_index"": 83309}]"
What were the circumstances surrounding Shawn Hunwick's one-day contract with the Blue Jackets?,"[{""content"": "" When Mason was injured in warm @-@ ups late in the year , Columbus was without an active goaltender on their roster "", ""start_index"": 87363, ""end_index"": 87480}, {""content"": ""To remedy the situation , the team signed former University of Michigan goaltender Shawn Hunwick to a one @-@ day , amateur tryout contract "", ""start_index"": 87482, ""end_index"": 87622}, {""content"": ""After being eliminated from the NCAA Tournament just days prior , Hunwick skipped an astronomy class and drove his worn down 2003 Ford Ranger to Columbus to make the game "", ""start_index"": 87624, ""end_index"": 87795}, {""content"": ""He served as the back @-@ up to Allen York during the game , and the following day , he signed a contract for the remainder of the year "", ""start_index"": 87797, ""end_index"": 87933}]"
How were the observations carried out at the observatory under Mgr. Gilii's supervision?,"[{""content"": ""He carried out continuous meteorological observations ( twice a day at 6 AM and 2 PM ) conforming to the programme of the Mannheim Meteorological Society "", ""start_index"": 93050, ""end_index"": 93204}, {""content"": ""While the observation records for seven years were published , the balance data in a manuscript form was preserved in the Vatican Library "", ""start_index"": 93206, ""end_index"": 93344}]"
Where were the recording and mixing locations for Mariah Carey's song 'There's Got to Be a Way'?,"[{""content"": ""The track was recorded and engineered by Bob <unk> at Cove City Sound Studios and The Power Station , both located in New York City "", ""start_index"": 99530, ""end_index"": 99662}, {""content"": ""It was mixed by David Frazer at Tarpan Studios in San Rafael"", ""start_index"": 99704, ""end_index"": 99764}]"
What religious-themed artworks were produced by Barker for the Society for Promoting Christian Knowledge?,"[{""content"": ""She published eight postcards and five guardian angel birthday cards for the Society for Promoting Christian Knowledge in 1916 and in 1923 respectively"", ""start_index"": 52910, ""end_index"": 53061}]"
What alterations were made to the second tower when it was designated the seat of the Vatican Observatory?,"[{""content"": ""In 1891 , Pope Leo XIII , promulgating the motu proprio Ut <unk> , designated the second tower as the seat of the newly established Vatican Observatory , a decision which required altering the roof to provide a flat terrace for astronomical observations "", ""start_index"": 94809, ""end_index"": 95063}]"
What was the impact of Blue Jackets' losing streaks on their season standings?,"[{""content"": ""They immediately matched their four @-@ game win streak with a four @-@ game losing streak and with ten games remaining , the Blue Jackets were the first team eliminated from playoff contention "", ""start_index"": 82977, ""end_index"": 83171}, {""content"": ""Shortly after being eliminated , they were defeated by the Edmonton Oilers 6 \u2013 3 ; the loss clinched last place in the NHL for Columbus "", ""start_index"": 83173, ""end_index"": 83309}, {""content"": ""It was the first time in franchise history the Blue Jackets finished in 30th place"", ""start_index"": 83311, ""end_index"": 83393}]"
"Who composed the music for Valkyria Chronicles III, and what was unique about the musical themes?","[{""content"": "" The music was composed by Hitoshi Sakimoto , who had also worked on the previous Valkyria Chronicles games "", ""start_index"": 11525, ""end_index"": 11633}, {""content"": ""When he originally heard about the project , he thought it would be a light tone similar to other Valkyria Chronicles games , but found the themes much darker than expected "", ""start_index"": 11635, ""end_index"": 11808}, {""content"": ""The battle themes were designed around the concept of a \"" modern battle \"" divorced from a fantasy scenario by using modern musical instruments , constructed to create a sense of atonality "", ""start_index"": 12362, ""end_index"": 12550}]"
